"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Nick Besler","RSL","2020","DM","626","3","1","0","0.65","-0.31","-0.65","2","0","0.13","-0.13","0.78","0.00","0.34"
"","Jorge Corrales","MTL","2020","FB","1174","3","0","0","0.07","-0.07","-0.07","9","1","0.69","0.31","0.76","0.00","0.05"
"","Judson","SJE","2020","DM","1814","14","1","0","0.70","-0.65","-0.70","2","0","0.06","-0.06","0.76","0.00","0.44"
"","Steven Birnbaum","DCU","2020","CB","1012","7","0","0","0.54","-0.54","-0.54","1","1","0.22","0.78","0.75","0.00","0.35"
"","Héctor Jiménez","CLB","2020","FB","431","1","0","0","0.03","-0.03","-0.03","8","1","0.72","0.28","0.75","0.00","0.02"
"","Kendall Waston","CIN","2020","CB","1677","10","3","0","0.72","-0.31","-0.72","1","0","0.02","-0.02","0.74","0.00","0.73"
"","Oswaldo Alanís","SJE","2020","CB","1287","13","4","2","0.73","0.17","1.27","0","0","0.00","0.00","0.73","2.41","0.66"
"","Hwang In-Beom","VAN","2020","CM","507","3","0","0","0.33","-0.33","-0.33","8","1","0.40","0.60","0.73","0.00","0.17"
"","Christian Torres","LAFC","2020","W","253","3","1","1","0.33","0.26","0.67","3","0","0.40","-0.40","0.72","1.85","0.24"
"","Alex Roldan","SEA","2020","FB","658","3","0","0","0.24","-0.24","-0.24","5","1","0.48","0.52","0.72","0.00","0.21"
"","Mo Adams","ATL","2020","DM","846","1","0","0","0.02","-0.02","-0.02","4","1","0.68","0.32","0.70","0.00","0.01"
"","Emil Cuello","LAG","2020","W","291","2","2","0","0.08","0.00","-0.08","4","0","0.61","-0.61","0.69","0.00","0.07"
"","Giuseppe Rossi","RSL","2020","AM","208","6","3","1","0.56","0.30","0.44","1","0","0.12","-0.12","0.68","0.13","0.21"
