,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
244,C. Gil,New England Revolution,28.0,26.0,4720000.0,2020.0,0.32,Carles Gil,Carles Gil,NE,F,6.0,4.0,366.0,0.0,2.0,7.0,2.0,0.0,0/1,0.0,0.0,0.0,0.0
245,T. Buchanan,New England Revolution,22.0,19.0,2360000.0,2020.0,0.22,Tajon Buchanan,Tajon Buchanan,NE,F,23.0,11.0,1084.0,2.0,2.0,30.0,12.0,0.0,0/0,1.0,1.0,0.17,6.7
246,G. Bou,New England Revolution,31.0,29.0,7080000.0,2020.0,-0.24,Gustavo Bou,Gustavo Bou,NE,F,18.0,14.0,1329.0,5.0,3.0,64.0,22.0,3.0,0/0,2.0,3.0,0.34,7.8
247,A. Buksa,New England Revolution,24.0,23.0,4720000.0,2020.0,1.8,Adam Buksa,Adam Buksa,NE,F,23.0,16.0,1499.0,6.0,2.0,59.0,24.0,1.0,0/1,2.0,4.0,0.36,10.2
248,T. Bunbury,New England Revolution,31.0,23.0,1180000.0,2020.0,-0.08,Teal Bunbury,Teal Bunbury,NE,F,22.0,19.0,1466.0,8.0,1.0,43.0,12.0,3.0,0/0,2.0,6.0,0.49,18.6
249,J. Rennicks,New England Revolution,21.0,19.0,206500.0,2020.0,0.57,Justin Rennicks,Justin Rennicks,NE,F,4.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
250,L. Binks,Club de Foot Montréal,19.0,18.0,1180000.0,2020.0,0.81,Luis Binks,Luis Binks,MTL,D,21.0,20.0,1762.0,0.0,0.0,10.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
251,A. Struna,Club de Foot Montréal,30.0,30.0,885000.0,2020.0,-2.28,Aljaz Struna,Aljaz Struna,MTL,D,17.0,16.0,1436.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
252,R. Camacho,Club de Foot Montréal,30.0,27.0,590000.0,2020.0,-0.54,Rudy Camacho,Rudy Camacho,MTL,D,14.0,14.0,1189.0,1.0,0.0,7.0,1.0,1.0,0/0,0.0,1.0,0.08,14.3
253,J. Waterman,Club de Foot Montréal,25.0,23.0,236000.0,2020.0,-0.43,Joel Waterman,Joel Waterman,MTL,D,7.0,6.0,549.0,0.0,1.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
254,K. Miller,Club de Foot Montréal,23.0,23.0,944000.0,2020.0,0.47,Kamal Miller,Kamal Miller,MTL,D,12.0,9.0,805.0,0.0,0.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
255,M. Kizza,Club de Foot Montréal,21.0,20.0,295000.0,2020.0,0.1,Mustafa Kizza,Mustafa Kizza,MTL,D,1.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
256,V. Wanyama,Club de Foot Montréal,29.0,28.0,9440000.0,2020.0,-0.45,Victor Wanyama,Victor Wanyama,MTL,M,21.0,21.0,1890.0,2.0,2.0,22.0,8.0,0.0,0/0,1.0,1.0,0.1,9.1
257,S. Piette,Club de Foot Montréal,26.0,22.0,2360000.0,2020.0,-1.01,Samuel Piette,Samuel Piette,MTL,M,22.0,22.0,1943.0,1.0,1.0,19.0,6.0,1.0,0/0,0.0,1.0,0.05,5.3
258,A. Sejdic,Club de Foot Montréal,24.0,22.0,236000.0,2020.0,0.17,Amar Sejdic,Amar Sejdic,MTL,M,14.0,7.0,684.0,2.0,0.0,12.0,5.0,0.0,0/0,1.0,1.0,0.26,16.7
259,E. Maciel,Club de Foot Montréal,23.0,22.0,354000.0,2020.0,-0.68,Emanuel Maciel,Emanuel Maciel,MTL,M,11.0,10.0,780.0,0.0,3.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
260,D. Mihailovic,Club de Foot Montréal,22.0,22.0,4720000.0,2020.0,1.23,Djordje Mihailovic,Djordje Mihailovic,MTL,M,20.0,14.0,1171.0,2.0,7.0,26.0,7.0,0.0,0/0,2.0,0.0,0.15,7.7
261,R. Quioto,Club de Foot Montréal,29.0,28.0,2360000.0,2020.0,2.09,Romell Quioto,Romell Quioto,MTL,M,19.0,17.0,1483.0,8.0,6.0,51.0,20.0,2.0,0/0,4.0,4.0,0.49,15.7
262,L. Lappalainen,Club de Foot Montréal,22.0,20.0,944000.0,2020.0,0.05,Lassi Lappalainen,Lassi Lappalainen,MTL,M,13.0,7.0,680.0,4.0,1.0,13.0,11.0,0.0,0/0,2.0,2.0,0.53,30.8
263,C. Bayiha,Club de Foot Montréal,22.0,19.0,590000.0,2020.0,-0.07,Clement Bayiha,Clement Bayiha,MTL,M,4.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
264,M. Toye,Club de Foot Montréal,22.0,21.0,708000.0,2020.0,-0.62,Mason Toye,Mason Toye,MTL,F,14.0,8.0,596.0,1.0,1.0,10.0,4.0,0.0,0/0,1.0,0.0,0.15,10.0
265,E. Hurtado,Club de Foot Montréal,30.0,30.0,590000.0,2020.0,0.24,Erik Hurtado,Erik Hurtado,MTL,F,15.0,3.0,376.0,5.0,0.0,19.0,8.0,1.0,0/0,1.0,4.0,1.2,26.3
266,M. Besler,Austin FC,34.0,33.0,590000.0,2020.0,1.58,Matt Besler,Matt Besler,ATX,D,10.0,9.0,810.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
267,J. Cascante,Austin FC,27.0,27.0,472000.0,2020.0,-0.02,Julio Cascante,Julio Cascante,ATX,D,5.0,4.0,405.0,1.0,0.0,5.0,2.0,0.0,0/0,0.0,1.0,0.22,20.0
268,B. Sweat,Austin FC,29.0,29.0,1121000.0,2020.0,0.34,Ben Sweat,Ben Sweat,ATX,D,22.0,20.0,1675.0,0.0,2.0,10.0,5.0,0.0,0/0,0.0,0.0,0.0,0.0
269,H. Jiménez,Austin FC,32.0,32.0,590000.0,2020.0,0.11,Hector Jimenez,Hector Jimenez,ATX,M,8.0,4.0,376.0,0.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
270,N. Lima,Austin FC,26.0,26.0,1180000.0,2020.0,-0.81,Nick Lima,Nick Lima,ATX,D,20.0,19.0,1531.0,2.0,2.0,16.0,6.0,1.0,0/0,0.0,2.0,0.12,12.5
271,A. Ring,Austin FC,29.0,29.0,2360000.0,2020.0,-0.26,Alexander Ring,Alexander Ring,ATX,M,23.0,23.0,2016.0,4.0,4.0,26.0,8.0,2.0,0/0,4.0,0.0,0.18,15.4
272,S. Berhalter,Austin FC,19.0,19.0,590000.0,2020.0,-0.61,Sebastian Berhalter,Sebastian Berhalter,ATX,M,9.0,4.0,395.0,0.0,0.0,6.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
273,J. Stroud,Austin FC,24.0,24.0,944000.0,2020.0,0.41,Jared Stroud,Jared Stroud,ATX,M,20.0,11.0,925.0,0.0,2.0,8.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
274,U. Segura,Austin FC,27.0,27.0,885000.0,2020.0,-1.18,Ulises Segura,Ulises Segura,ATX,M,10.0,7.0,683.0,0.0,0.0,9.0,5.0,0.0,0/0,0.0,0.0,0.0,0.0
275,D. Fagúndez,Austin FC,26.0,25.0,1180000.0,2020.0,0.36,Diego Fagundez,Diego Fagundez,ATX,M,19.0,9.0,966.0,1.0,0.0,21.0,5.0,0.0,0/0,1.0,0.0,0.09,4.8
